iter	Passed	Remaining
0	135	135802
1	137	68410
2	138	45949
3	139	34663
4	140	27902
5	141	23411
6	142	20215
7	143	17817
8	145	15989
9	146	14476
10	147	13237
11	148	12207
12	149	11356
13	151	10644
14	152	9986
15	153	9422
16	154	8916
17	155	8464
18	156	8076
19	157	7736
20	158	7405
21	159	7108
22	160	6832
23	161	6581
24	162	6350
25	164	6145
26	165	5974
27	166	5796
28	168	5630
29	169	5469
30	170	5324
31	171	5184
32	172	5051
33	173	4924
34	174	4809
35	175	4703
36	177	4608
37	178	4506
38	179	4413
39	180	4325
40	181	4238
41	182	4159
42	183	4082
43	184	4010
44	185	3941
45	186	3875
46	187	3811
47	188	3747
48	190	3687
49	191	3637
50	193	3592
51	194	3539
52	195	3485
53	196	3438
54	197	3391
55	198	3347
56	199	3306
57	200	3264
58	202	3223
59	203	3181
60	203	3140
61	205	3102
62	206	3077
63	208	3045
64	209	3011
65	210	2975
66	211	2942
67	212	2907
68	214	2888
69	215	2857
70	216	2827
71	217	2797
72	218	2769
73	219	2740
74	219	2711
75	220	2684
76	221	2658
77	222	2632
78	223	2607
79	224	2585
80	225	2560
81	226	2536
82	227	2508
83	228	2491
84	229	2470
85	230	2447
86	231	2427
87	232	2407
88	233	2389
89	234	2371
90	235	2352
91	236	2335
92	237	2319
93	239	2303
94	239	2285
95	241	2270
96	241	2252
97	243	2242
98	244	2225
99	245	2209
100	246	2193
101	247	2177
102	248	2162
103	249	2146
104	250	2131
105	250	2116
106	251	2102
107	252	2087
108	253	2072
109	254	2058
110	255	2046
111	256	2033
112	257	2021
113	258	2007
114	259	1995
115	260	1983
116	260	1969
117	261	1957
118	262	1945
119	263	1933
120	264	1922
121	265	1909
122	266	1897
123	267	1886
124	267	1875
125	268	1864
126	269	1853
127	270	1843
128	271	1833
129	272	1824
130	273	1813
131	274	1803
132	275	1793
133	276	1783
134	277	1774
135	277	1765
136	278	1755
137	279	1746
138	280	1737
139	281	1727
140	282	1719
141	282	1708
142	283	1700
143	284	1691
144	285	1683
145	286	1675
146	287	1666
147	288	1658
148	288	1650
149	289	1642
150	290	1634
151	291	1626
152	292	1619
153	293	1611
154	294	1603
155	295	1596
156	295	1589
157	296	1582
158	297	1575
159	298	1568
160	299	1559
161	300	1552
162	301	1546
163	302	1539
164	303	1534
165	304	1530
166	305	1523
167	306	1517
168	307	1511
169	308	1504
170	309	1498
171	310	1493
172	311	1488
173	312	1482
174	313	1476
175	314	1470
176	314	1464
177	315	1458
178	316	1452
179	318	1450
180	319	1446
181	320	1440
182	321	1435
183	322	1429
184	323	1424
185	324	1418
186	324	1412
187	325	1407
188	326	1402
189	327	1397
190	328	1391
191	329	1386
192	330	1381
193	331	1376
194	333	1375
195	334	1373
196	336	1369
197	337	1365
198	337	1360
199	338	1355
200	339	1351
201	340	1346
202	341	1341
203	342	1337
204	343	1332
205	344	1328
206	345	1323
207	346	1318
208	348	1317
209	349	1315
210	350	1311
211	351	1306
212	352	1302
213	353	1298
214	354	1294
215	355	1289
216	356	1285
217	357	1280
218	357	1276
219	358	1272
220	359	1268
221	360	1264
222	361	1259
223	363	1260
224	364	1256
225	365	1252
226	366	1248
227	367	1244
228	368	1240
229	369	1236
230	370	1232
231	371	1228
232	372	1224
233	373	1221
234	373	1217
235	374	1213
236	375	1209
237	376	1206
238	378	1205
239	379	1201
240	380	1197
241	381	1193
242	382	1190
243	383	1186
244	384	1183
